שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אילין,107,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,0,0,2,2,0,2,2,14,6,10,5,9,6,2,2,7
אילנה,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,0,2,2,0,2,2,5,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אימאן,394,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,5,6,8,2,6,10,9,6,8,20,12,20,16,24,17,13,15,17,15,12,9,14,9,7,9,2,10,10,8,2,5,8,5,2,7,2,2,0,2,2,2,0,2,2,2,0,0,2,0,2,2,0,2,2,0,0
אינס,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,5,6,2,6,2,9,2,6,6,5,9,7,7,11,8,8,9,2,6,6,5,2,2,2,5,2,2,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
אינסאף,36,0,2,0,0,0,2,2,0,2,0,0,2,8,2,2,2,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אלאא,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,6,2,2,2,2,2,0,2,2,2,2,5,5,2,2,2,2,0,2,5,2,2,10,6,12,16,8,7
אלהאם,136,0,0,0,0,2,2,0,0,2,0,0,6,5,2,2,7,2,2,2,2,5,5,8,2,10,2,2,2,2,6,2,5,5,6,2,2,2,0,2,2,0,0,2,0,2,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,2,2,0,0,0,0
אליאן,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,5,7,7,2,2,2,2,2,6,2,2,6,2,5,2,2,2
אלין,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,2,2,2,0,2,2,0,0,2,2,2,2,7,9,13,6,11,8,10,2,8,9,13,16,24,23,63,35,36,20,12,19,22,12,16
אליסאר,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,8,8,5,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2
אלמא,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,7,5,13,9,12,13,6,9,5,11,7,2,10
אלמאזה,111,2,2,2,5,2,2,0,2,2,2,2,6,2,2,2,2,7,2,2,2,0,2,2,0,2,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,2,2,0,2,0,0,2,2,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0
אלמה,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,9,2,2,2,2,6,7,9,6,2,5
אמאני,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,26,23,9,2,7,6,11,10,7,9,13,6,2,7,7,2,2,2,6,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,0,0,2,0,0
אמארה,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2,0,2,0,2,6,2,2,2,2,2,2,0,2,2,2,2,0,0,2,2,0,0,2,0,0,2,2,0,0
אמה,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,2,10,2
אמילי,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,2,2,2,2,2,9
אמירה,381,2,2,5,2,2,8,2,2,5,2,6,8,9,2,2,8,6,12,11,11,16,18,17,14,12,17,8,12,8,7,12,9,7,6,7,7,10,11,5,2,6,7,5,0,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,2
אמל,539,2,2,0,2,6,2,2,2,7,5,7,10,14,17,15,21,14,21,11,15,12,15,9,14,9,13,9,14,15,14,12,7,7,12,9,6,9,13,12,2,6,2,2,13,7,2,2,2,7,2,8,8,10,2,8,2,5,5,5,7,2,2,2,2,2,2,2,2,2,5,2,2,2,2
אן,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,2,0,5,2,2,2,2,2,2,2,2,2,2,5,9,7,13,9,15,7,15,17
אנג'ל,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,0,0,2,2,5,0,2,2,2,2,2,2,0
אנגאם,57,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0,0,2,2,2,2,2,2,2,5,9,2,2,2,2,0,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
אנה,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,2,2,0,2,2,0,2,2,5,0,2,2,2,0,0,2,0,2,2,0,2,2,2,2,2,2,2
אנהאר,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,5,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
