שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אימאן,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,11,2,8,7,6,13,14,8,19,9,9,14,10,19,8,8,5,12,7,7,17,7,9,9,11,10,12,11,9,13,10,15,12,9,8,7,8,2,9,2,2,2,2,2,0,2,2,2,2,2,0,0
אימאר,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,10,10,5,7,11,2,2,2,2,2,2,2,2,2,2,6
אינאל,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,2,2,0,2,2,2,2,5,2,2
איסם,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,2,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,5,2,2,0,2,2,2,0
אכרם,106,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,8,6,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,0,0,2,0,0,0,2,2,0,0,2,0,0,2,0,0,2,0,2
אלאן,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,2,2,2,2,2,2,6,5,8,8,12,8,10
אמג'ד,164,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,2,0,0,2,2,2,2,2,2,2,6,0,2,2,2,2,6,6,5,7,8,6,6,8,6,2,6,2,2,6,6,2,2,2,8,2,2,2,0,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0
אמיל,91,0,2,0,0,2,2,0,2,0,2,0,0,2,0,2,2,5,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,0,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,2,2,0,2
אמין,495,2,2,2,6,8,2,2,2,2,2,2,2,2,9,6,2,6,6,5,2,6,2,6,2,6,2,2,2,5,2,5,2,6,2,9,5,5,7,12,10,7,8,13,11,11,14,14,13,9,7,6,8,2,9,7,7,11,8,8,8,5,6,9,9,8,10,10,2,8,7,2,9,5,7
אמיר,"1,493",0,0,2,2,2,0,2,0,2,0,0,0,2,2,2,2,2,2,6,2,8,10,6,17,17,14,20,10,15,24,13,25,13,16,22,22,20,31,25,37,30,30,28,39,37,37,48,39,43,46,41,50,40,51,36,34,26,32,23,27,23,24,37,25,32,32,28,29,17,26,28,25,27,12
