שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אלאא,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,2,2,7,2
אלהאם,128,2,0,2,2,2,2,2,2,0,2,2,7,6,12,10,2,2,2,2,6,6,2,6,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,2,2,2,2,2,0,2,2
אליאנה,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,2,2,5,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,5,2,2,2,5,2,2,2
אלין,332,2,2,0,0,0,2,2,2,0,0,2,2,2,2,0,2,0,0,2,0,2,2,0,5,0,2,8,2,6,2,2,2,2,2,2,2,2,2,6,2,2,2,6,6,2,2,2,7,2,7,2,2,7,8,6,9,2,7,11,9,2,5,10,8,15,11,22,9,8,13,7,6,8,5
אלינור,68,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,2,0,2,2,0,2,5,2,2,0,2,2,0,2,6,2,2,5,2,2,2,2,0,2,2,2
אליס,219,2,2,2,6,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,0,2,0,2,2,2,0,2,2,0,2,0,0
אליסה,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,5,7,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2
אלמא,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,2,2,7,2,6,2
אלמה,60,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,8,9,7,9,6
אמאני,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,8,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
אמה,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,0,2,0,2,2,2,8,2,8,2,2,8
אמילי,170,0,2,2,2,2,0,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,2,2,2,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,12,2,14,11,8,6,11,10,6
אמיליה,20,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,0,2,2,5
אמירה,325,2,2,8,6,7,8,5,12,5,8,12,9,11,15,9,16,10,10,7,8,7,9,8,6,9,2,2,5,5,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,2,6,0,0,0,2,2,2,2,0,2,2,2,2
אמל,849,9,7,9,6,8,9,7,14,13,18,22,16,21,21,24,27,25,14,22,23,16,20,24,19,12,17,20,13,19,15,10,20,15,9,11,13,7,10,8,12,9,7,12,7,13,8,2,13,10,13,2,9,8,7,7,12,2,2,5,2,6,2,2,2,0,2,6,2,0,0,2,2,5,0
אנג'לה,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,5,2,0,2,2,2,2
אנג'לינה,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,2,5,5,11,5,7,7,6,5,2,7,2,2,2,2,5,2
אנגאם,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,0,2,2,2,0,2,0,0,0,0,2,5,2,2,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אנה,88,0,0,0,0,0,0,0,2,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,2,0,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,0,5,2,0,2,2,2,2,2,2,5,2,2,0,2,2,2,2,5,2
אנוור,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,0,2,6,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אניסה,78,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,5,2,0,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0
אסיל,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,5,0,7,6,10,8,6,8,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2
