שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אורגואן,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,9,2,0,2,2,2,5,0,2,2,2,2,7,0,2,2,5,2,0,2,2,0,2,2
אוריאנה,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,5,2,2
אזדהאר,354,2,0,2,2,2,2,2,0,2,2,2,2,8,5,7,11,6,8,15,11,12,9,14,20,12,19,17,19,7,2,9,8,6,7,6,2,5,2,2,6,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,0,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2
אזהאר,548,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,2,0,2,5,2,6,2,6,2,5,2,2,2,5,13,10,12,22,21,21,16,14,9,89,37,25,25,27,22,20,9,14,10,2,10,2,2,2,6,2,2,2,2,2,2,2,2,5,6,6,0,2,2
אזהר,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,15,9,6,8,2,6,7,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2
אזל,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,7,2,2,10,5,6,6,2,2,2,2,6,2,10,6,2,2,8,5,14,13,7,10,10
אח'לאס,541,0,0,0,0,2,2,2,2,2,2,5,2,2,2,6,12,21,22,24,17,20,23,25,28,24,22,18,11,20,18,18,14,20,8,11,16,11,6,9,2,2,2,6,5,6,6,7,2,0,5,0,2,2,5,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2
אחלאם,"2,772",2,0,2,2,2,2,2,2,2,2,6,6,9,10,15,19,19,26,26,22,23,41,43,50,51,31,40,47,39,50,73,58,62,50,77,154,84,87,75,89,88,68,96,80,80,76,80,64,66,58,62,58,61,66,34,36,34,21,25,16,21,23,17,17,14,13,16,14,10,12,11,10,14,9
אחלאס,700,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,12,15,15,11,15,19,29,20,42,35,25,24,21,11,6,7,16,2,7,6,2,6,5,9,5,6,12,7,8,9,22,8,17,24,25,9,13,2,2,2,16,8,8,8,5,9,8,7,8,8,6,2,7,10,7,6,2,5,8
אחלס,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0,0,2,2,2,2,2,9,6,10,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0,2,2,2,2,0
איאן,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,7,2,7,18,17,24,13,18,15,16,17,16,18,26,27,34,39,32,44,51,54
איאנא,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,2,2,2,2,5
איאנה,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,2,2,2,11
איאת,"3,060",0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,6,6,7,5,5,2,7,9,9,12,16,23,19,21,43,40,72,96,117,122,116,128,114,119,121,108,106,90,95,95,81,89,145,82,56,70,68,51,54,62,60,46,33,43,51,54,45,53,44,56,42,26
איבה,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
איבתיסם,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
איבתסאם,318,0,2,0,2,2,0,0,6,2,7,15,14,20,17,22,11,11,8,11,9,9,15,12,12,13,16,9,21,8,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,2
איה,"8,946",0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2,10,2,10,13,12,17,23,19,29,147,103,135,139,164,153,180,242,242,332,385,457,436,439,486,403,355,344,303,313,258,320,256,272,248,203,191,203,192,206,188,165,168,156
איזדהאר,100,0,0,2,0,0,2,2,2,0,2,5,6,2,7,2,2,2,0,2,0,2,5,2,5,2,2,10,2,0,2,2,2,0,2,2,0,2,0,2,2,2,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0
איזיס,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,2,0,2,2,0,0,5,2,0,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0
איח'לאס,385,2,2,2,2,2,5,2,2,6,14,11,14,7,10,8,16,24,14,19,10,19,21,10,19,22,10,15,12,7,7,9,7,5,6,6,2,5,2,2,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0
איחלאס,124,0,0,0,0,0,0,0,0,0,0,5,9,5,2,8,2,2,2,2,5,2,2,2,6,2,2,7,5,0,0,2,0,0,0,0,0,2,2,2,2,0,2,0,2,2,2,5,2,2,2,0,2,2,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,0,0,2,0
איחסאן,130,0,0,0,0,2,0,0,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,6,5,2,2,0,2,2,2,0,0,2,0,2,2,2,0,2,2,2,0,0,2,2,2,2
אייט,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0
איילא,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,5,17,22
איילה,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,2,0,2,0,2,2,0,2,2,0,0,0,2,0,2,2,0,2,0,0,0,0,0,2,6,2,7,9,8,9,16,67,67
איילול,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,2,2,2,2,12,13,9
איילין,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,6,2,7
אייסל,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,2,6,10
אילא,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,0,2,2,12,11,23,22,73,79
אילאן,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,11,27,22,15,6,17,9
אילאף,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,2,2,2,2,2,2,8,2,8,5,6,2,14,12,11,23,24,35,49,45,65,75,102
אילהאם,273,2,0,2,2,2,0,0,2,2,2,2,9,9,10,9,11,9,14,8,12,10,12,9,17,14,8,14,9,2,2,2,2,0,2,5,2,8,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2
אילול,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,12,2,2,6,6,2,2,30,86,103,113,150
איליא,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,5,2,6,6,9,21,23,28,29,22
איליאא,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2,2,5,10,6,28,30,22,42,54,41
איליה,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,2,0,0,2,2,2,2,8,6,16
אילין,"1,066",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,0,2,2,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,2,2,0,2,6,2,2,2,6,2,2,0,2,0,2,2,6,2,25,117,99,131,96,102,95,130,109,98
אילינא,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,2,7,10,8,17
איליף,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10
אילן,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,2,2,2,2
אילנה,145,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,5,2,5,12,6,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,5,2,2,2,7,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,2,0,0,6,2,2,7,2
אילף,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0,2,2,2,2,0,5,2,2,2,2,2,2,11,20
אימאן,"7,382",0,0,0,0,0,0,2,2,2,2,10,10,20,28,44,27,38,61,93,90,96,95,90,99,99,133,116,99,110,97,126,141,124,129,134,168,173,148,155,158,171,198,207,209,195,175,185,181,194,179,163,186,178,201,180,165,137,124,121,101,104,91,80,73,73,65,74,68,77,79,67,60,52,48
אינור,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,2,0,0,2,0,0,0,5,2,5,7,9
אינס,"2,122",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,5,2,12,25,26,37,51,52,49,38,56,76,59,61,54,82,75,65,48,59,57,50,66,54,62,67,57,51,61,48,46,38,43,44,40,33,33,27,16,32,55,31,24,18,14,21,14,16,14,8,15,7,14
אינסאף,120,2,0,0,0,2,2,0,5,2,2,2,2,2,2,5,6,2,2,2,2,2,2,7,2,2,2,2,2,2,2,0,5,0,2,2,2,2,2,0,0,2,0,0,2,2,2,2,0,2,0,2,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,2,0,0,2,2,2,0,0
אינעאם,232,2,0,2,2,2,2,2,2,5,5,11,9,2,6,6,7,7,9,2,7,9,8,14,15,5,14,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,0,0,0,0,2,0,2,2,2,2,0,0,0,0,2,0,0,2,2,2,2
אינתיסאר,98,0,2,0,0,0,0,0,2,0,2,0,0,0,2,2,2,2,2,2,5,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0
אינתיסר,56,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,5,5,7,2,2,6,2,0,2,2,0,2,2,0,0,0,0,0,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
אינתסאר,302,5,2,2,2,0,2,2,2,12,12,12,7,12,11,5,16,7,11,2,9,15,13,7,10,2,10,8,5,5,2,2,2,0,2,2,2,0,2,2,2,2,5,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,0,0
איסל,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,0,8,8,6,13
איעתדאל,114,0,2,0,2,2,2,2,2,2,2,5,10,8,8,7,8,2,5,2,2,6,2,9,2,2,0,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
איפתיסם,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
איתאר,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,2,2,2,2,0,2,2,2,5,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0
אכלאס,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,5,5,2,2,2,8,2,2,2,2,2,2,2,2,2,5,0,2,2,2,2,2,2,6,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,5,2
אכראם,358,2,0,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,6,2,2,6,2,2,2,2,2,2,5,2,5,2,13,2,7,10,12,17,12,11,10,12,15,10,9,13,12,7,2,2,10,6,2,5,2,5,2,2,5,2,5,2,2,2,2,2,0
אל,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,2,2,2,0,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,0
אלאא,"5,091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,2,2,2,8,9,7,16,32,57,87,150,162,261,279,266,263,237,196,175,190,165,180,230,166,194,161,134,145,158,130,121,90,93,66,54,73,55,59,68,49,61,54,49,70,57
אלאה,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,2,2,6,2,2,2,2,2,2,0,2,2,0,0,2,0,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0
אלהאם,"1,376",2,2,2,2,2,2,7,5,6,10,5,19,24,28,23,30,38,43,47,33,42,46,37,38,40,37,38,26,33,35,24,22,16,16,26,30,26,22,14,17,23,24,36,23,17,15,12,14,10,17,16,17,16,13,11,11,15,8,7,8,7,6,8,12,8,10,2,13,9,13,12,10,13,9
אלחאן,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,6,2,5,2,2,0,2,2,5,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,0,0,0,2,0,2
