שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אלברט,76,2,0,2,2,2,0,0,2,0,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,0,0,2,2,2,6,2,2,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,0,2
אלי,210,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,5,2,8,2,0,2,2,5,2,5,0,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,5,6,2,2,2,2,2,2,2,2,2,2,2,6,2,2,7,5,2,2
אליאן,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,0,0,2
אליאס,"2,553",14,13,18,21,17,23,14,19,18,27,27,22,35,22,27,42,33,30,41,28,29,17,24,29,37,22,32,35,32,30,33,33,31,35,40,33,32,42,33,29,44,40,50,48,57,52,47,40,68,51,46,35,33,53,36,36,35,35,36,27,46,26,30,30,31,29,31,27,31,26,26,28,17,15
אלכס,72,0,0,0,2,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,0,2,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,0,2,2,6,0,2,2,2,0,2,2,0,0,0,2,2,2
אלכסנדר,87,0,0,0,2,0,0,0,0,0,2,0,2,2,0,2,2,2,2,0,2,0,0,2,0,0,2,2,0,2,0,0,0,0,2,2,2,2,2,0,2,0,2,0,2,2,2,0,2,2,2,2,0,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0
אמג'ד,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,2,2,2,0,2,0,0,2,2,2,2,5,2,2,6,2,9,2,6,2,6,2,6,2,2,6,2,2,2,2,2,6,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0
אמטאנס,78,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,5,2,0,2,2,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0
אמיל,376,6,2,9,5,8,6,9,2,7,6,7,2,7,6,2,6,6,11,7,2,6,6,2,6,2,7,2,2,2,7,2,2,8,2,2,0,2,5,9,2,2,2,2,5,2,6,2,2,5,6,2,6,6,2,7,5,2,2,2,2,6,5,5,5,2,2,2,2,0,5,6,2,7,2
אמין,134,2,2,0,2,2,0,0,2,0,2,2,0,5,2,2,2,6,2,0,2,0,0,2,2,2,2,2,2,2,2,0,2,2,0,5,2,2,2,2,2,2,2,2,2,5,2,2,2,2,0,2,2,2,2,5,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,0
